date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:16:22	1497/1497	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Apr%202020%2016:22:41%20GMT	https://revendedoresdesucessobrasil.com/wp-content/uploads/2020/04/cropped-bb05bdfa55b88a9a5732dfdbb1945791-cone-da-mulher-da-compra-by-vexels-32x32.png	D:/sites/DFT/revendedoresdesucessobrasil.com/wp-content/uploads/2020/04/cropped-bb05bdfa55b88a9a5732dfdbb1945791-cone-da-mulher-da-compra-by-vexels-32x32.png	(from https://revendedoresdesucessobrasil.com/monetizze/)
19:16:22	8369/8369	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Apr%202020%2016:22:41%20GMT	https://revendedoresdesucessobrasil.com/wp-content/uploads/2020/04/cropped-bb05bdfa55b88a9a5732dfdbb1945791-cone-da-mulher-da-compra-by-vexels-192x192.png	D:/sites/DFT/revendedoresdesucessobrasil.com/wp-content/uploads/2020/04/cropped-bb05bdfa55b88a9a5732dfdbb1945791-cone-da-mulher-da-compra-by-vexels-192x192.png	(from https://revendedoresdesucessobrasil.com/monetizze/)
19:16:22	7751/7751	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Apr%202020%2016:22:41%20GMT	https://revendedoresdesucessobrasil.com/wp-content/uploads/2020/04/cropped-bb05bdfa55b88a9a5732dfdbb1945791-cone-da-mulher-da-compra-by-vexels-180x180.png	D:/sites/DFT/revendedoresdesucessobrasil.com/wp-content/uploads/2020/04/cropped-bb05bdfa55b88a9a5732dfdbb1945791-cone-da-mulher-da-compra-by-vexels-180x180.png	(from https://revendedoresdesucessobrasil.com/monetizze/)
19:16:22	10545/10545	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Feb%202020%2020:56:15%20GMT	https://revendedoresdesucessobrasil.com/wp-content/uploads/2020/02/Capturar-1.png	D:/sites/DFT/revendedoresdesucessobrasil.com/wp-content/uploads/2020/02/Capturar-1.png	(from https://revendedoresdesucessobrasil.com/monetizze/)
19:16:23	19106/19106	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Feb%202020%2010:43:08%20GMT	https://revendedoresdesucessobrasil.com/wp-content/uploads/2020/02/assista_video-768x112-1.png	D:/sites/DFT/revendedoresdesucessobrasil.com/wp-content/uploads/2020/02/assista_video-768x112-1.png	(from https://revendedoresdesucessobrasil.com/monetizze/)
19:16:23	27609/27609	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Feb%202020%2010:43:03%20GMT	https://revendedoresdesucessobrasil.com/wp-content/uploads/2020/02/Sim-eu-quero-consultoria-marketing-digital-1024x264-1-1-1-768x198.png	D:/sites/DFT/revendedoresdesucessobrasil.com/wp-content/uploads/2020/02/Sim-eu-quero-consultoria-marketing-digital-1024x264-1-1-1-768x198.png	(from https://revendedoresdesucessobrasil.com/monetizze/)
19:16:24	33818/33818	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jan%202020%2021:25:14%20GMT	https://revendedoresdesucesso.com/wp-content/uploads/2019/09/Sim-eu-quero-consultoria-marketing-digital-1024x264-1-1-1.png	D:/sites/DFT/revendedoresdesucesso.com/wp-content/uploads/2019/09/Sim-eu-quero-consultoria-marketing-digital-1024x264-1-1-1.png	(from https://revendedoresdesucessobrasil.com/monetizze/)
19:16:24	16599/16599	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Feb%202020%2010:41:49%20GMT	https://revendedoresdesucessobrasil.com/wp-content/uploads/2020/02/fot-1.png	D:/sites/DFT/revendedoresdesucessobrasil.com/wp-content/uploads/2020/02/fot-1.png	(from https://revendedoresdesucessobrasil.com/monetizze/)
19:16:24	661/661	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Feb%202020%2010:41:22%20GMT	https://revendedoresdesucessobrasil.com/wp-content/uploads/2020/02/ESTRELAS-1.png	D:/sites/DFT/revendedoresdesucessobrasil.com/wp-content/uploads/2020/02/ESTRELAS-1.png	(from https://revendedoresdesucessobrasil.com/monetizze/)
19:16:24	9949/9949	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Feb%202020%2010:41:05%20GMT	https://revendedoresdesucessobrasil.com/wp-content/uploads/2020/02/V1-1.png	D:/sites/DFT/revendedoresdesucessobrasil.com/wp-content/uploads/2020/02/V1-1.png	(from https://revendedoresdesucessobrasil.com/monetizze/)
